k,Adult sse (left)
2,201370.4780085001
3,195277.55363444015
4,189277.0928754983
5,185337.23609429592
6,181433.3185794963
7,178618.7693307338
8,174652.1297478809
9,169498.17711851205
10,168174.76749769654
15,153009.94870750158
20,139254.67775115202
25,125429.11380632952
30,113730.47156412681
35,103766.44171727041
40,94238.41862973972
