k,Adult BIC
2,261470.76488392975
3,225020.40735504025
4,42417.060696544875
5,-21496.289014496535
6,-39150.399390023624
7,-57018.66938838227
8,-101866.65071614052
9,-118507.11329516576
10,-115782.29436486028
15,-139474.81074831015
20,-139498.37684002065
25,-86691.79149342072
30,-39195.51070063352
35,-71111.22640465508
40,-70609.39801877725
