k,Madelon log-likelihood
2,-142.26940208826375
3,-141.19910416038195
4,-140.00384091444369
5,-139.02117104768712
6,-137.74015408025957
7,-136.74126985935027
8,-134.74125930218347
9,-129.51123959179543
10,-131.36289772285886
15,-110.26921396704255
20,-57.72252061282135
25,7.34020325043809
30,58.66622450399979
35,98.17266292749383
40,116.29889359821625
