k,Madelon BIC
2,304889.8643664608
3,315816.44234083034
4,326498.0882918091
5,337596.41726598406
6,348109.98592284386
7,359176.53476287937
8,368280.8759838503
9,371054.3992645075
10,387708.0111144096
15,411486.2005180986
20,373616.491108914
25,311215.36190201447
30,275738.16981012246
35,263427.3600651631
40,293021.75751563616
