k,Madelon log-likelihood
2,-23.334992374907536
3,-23.235995875370186
4,-23.152863259460926
5,-23.036390822469215
6,-22.955577236976758
7,-22.83027616167893
8,-22.748583084920682
9,-22.699091051952244
10,-22.57674870128344
15,-22.087059127181465
20,-21.786665054166424
25,-21.277740497932875
30,-21.063005409775993
35,-20.663469584724286
40,-20.301604633742937
