k,Madelon BIC
2,46983.23207029007
3,47415.96621521834
4,47879.79357205767
5,48278.274879575394
6,48746.64753603166
7,49127.8247124694
8,49594.47356604471
9,50124.236465448055
10,50511.21274215868
15,52685.25759702621
20,55230.321634024134
25,57366.66592391378
30,60079.621571233685
35,62430.36777423974
40,64854.9488904237
