k,Adult sse (left)
2,41602.923434801036
3,37446.40910128448
4,34286.12080293139
5,30737.99872239534
6,27403.996683810597
7,25274.21268956121
8,23775.84232686767
9,21968.229527282852
10,20763.91465672804
15,17035.42070394684
20,14988.130886233168
25,13705.1859351556
30,12760.37380266283
35,11741.41522372549
40,10917.437412176898
