,0,1,2,3,4,5,6,7,8,9
2,0.9762376391261239,0.9762376391261239,0.9762376391261239,0.9762376391261239,0.9762376391261239,0.9762376391261239,0.9762376391261239,0.9762376391261239,0.9762376391261239,0.9762376391261239
3,0.9674720266005987,0.9674720266005987,0.9674720266005987,0.9674720266005987,0.9674720266005987,0.9674720266005987,0.9674720266005987,0.9674720266005987,0.9674720266005987,0.9674720266005987
4,0.9610204739083273,0.9610204739083273,0.9610204739083273,0.9610204739083273,0.9610204739083273,0.9610204739083273,0.9610204739083273,0.9610204739083273,0.9610204739083273,0.9610204739083273
5,0.9557075094744731,0.9557075094744731,0.9557075094744731,0.9557075094744731,0.9557075094744731,0.9557075094744731,0.9557075094744731,0.9557075094744731,0.9557075094744731,0.9557075094744731
6,0.9509357017748736,0.9509357017748736,0.9509357017748736,0.9509357017748736,0.9509357017748736,0.9509357017748736,0.9509357017748736,0.9509357017748736,0.9509357017748736,0.9509357017748736
7,0.9463300900020809,0.9463300900020809,0.9463300900020809,0.9463300900020809,0.9463300900020809,0.9463300900020809,0.9463300900020809,0.9463300900020809,0.9463300900020809,0.9463300900020809
8,0.9415553185568326,0.9415553185568326,0.9415553185568326,0.9415553185568326,0.9415553185568326,0.9415553185568326,0.9415553185568326,0.9415553185568326,0.9415553185568326,0.9415553185568326
9,0.9371165191540144,0.9371165191540144,0.9371165191540144,0.9371165191540144,0.9371165191540144,0.9371165191540144,0.9371165191540144,0.9371165191540144,0.9371165191540144,0.9371165191540144
10,0.932456792496137,0.932456792496137,0.932456792496137,0.932456792496137,0.932456792496137,0.932456792496137,0.932456792496137,0.932456792496137,0.932456792496137,0.932456792496137
15,0.9098861805025337,0.9098861805025337,0.9098861805025337,0.9098861805025337,0.9098861805025337,0.9098861805025337,0.9098861805025337,0.9098861805025337,0.9098861805025337,0.9098861805025337
20,0.8880088904201996,0.8880088904201996,0.8880088904201996,0.8880088904201996,0.8880088904201996,0.8880088904201996,0.8880088904201996,0.8880088904201996,0.8880088904201996,0.8880088904201996
25,0.8665912152311644,0.8665912152311644,0.8665912152311644,0.8665912152311644,0.8665912152311644,0.8665912152311644,0.8665912152311644,0.8665912152311644,0.8665912152311644,0.8665912152311644
30,0.8457572480882094,0.8457572480882094,0.8457572480882094,0.8457572480882094,0.8457572480882094,0.8457572480882094,0.8457572480882094,0.8457572480882094,0.8457572480882094,0.8457572480882094
35,0.8254135865767771,0.8254135865767771,0.8254135865767771,0.8254135865767771,0.8254135865767771,0.8254135865767771,0.8254135865767771,0.8254135865767771,0.8254135865767771,0.8254135865767771
40,0.8053875582026087,0.8053875582026087,0.8053875582026087,0.8053875582026087,0.8053875582026087,0.8053875582026087,0.8053875582026087,0.8053875582026087,0.8053875582026087,0.8053875582026087
45,0.7861134582014688,0.7861134582014688,0.7861134582014688,0.7861134582014688,0.7861134582014688,0.7861134582014688,0.7861134582014688,0.7861134582014688,0.7861134582014688,0.7861134582014688
50,0.7711153326994721,0.7711153326994721,0.7711153326994721,0.7711153326994721,0.7711153326994721,0.7711153326994721,0.7711153326994721,0.7711153326994721,0.7711153326994721,0.7711153326994721
55,0.7525892823189011,0.7525892823189011,0.7525892823189011,0.7525892823189011,0.7525892823189011,0.7525892823189011,0.7525892823189011,0.7525892823189011,0.7525892823189011,0.7525892823189011
60,0.7345820435427104,0.7345820435427104,0.7345820435427104,0.7345820435427104,0.7345820435427104,0.7345820435427104,0.7345820435427104,0.7345820435427104,0.7345820435427104,0.7345820435427104
