k,Adult sse (left)
2,188785.3153763793
3,169718.08849226095
4,159529.0537049916
5,149472.00169942528
6,143495.87107363288
7,136197.40375623904
8,128650.28730251883
9,124321.09957937646
10,117771.93349185909
15,96054.78353039398
20,82189.31224369795
25,68633.13297974739
30,61222.72577117351
35,54515.296072333236
40,48920.5225522025
